file	inputs	psg	prc
/Users/rbean/temp/xml/0_401.xml	401	212	52.86783
/Users/rbean/temp/xml/0_412.xml	412	166	40.29126
/Users/rbean/temp/xml/0_414.xml	414	316	76.3285
/Users/rbean/temp/xml/0_430.xml	430	165	38.37209
/Users/rbean/temp/xml/0_452.xml	452	88	19.46903
/Users/rbean/temp/xml/0_458.xml	458	125	27.29258
/Users/rbean/temp/xml/0_468.xml	468	228	48.71795
/Users/rbean/temp/xml/0_471.xml	471	288	61.1465
/Users/rbean/temp/xml/0_486.xml	486	263	54.11523
/Users/rbean/temp/xml/1_422.xml	422	76	18.00948
/Users/rbean/temp/xml/1_425.xml	425	340	80.0
/Users/rbean/temp/xml/1_426.xml	426	165	38.73239
/Users/rbean/temp/xml/1_428.xml	428	289	67.52336
/Users/rbean/temp/xml/1_450.xml	450	349	77.55556
/Users/rbean/temp/xml/1_501.xml	501	175	34.93014
/Users/rbean/temp/xml/1_526.xml	526	102	19.39163
/Users/rbean/temp/xml/2_409.xml	409	289	70.66015
/Users/rbean/temp/xml/2_425.xml	425	272	64.0
/Users/rbean/temp/xml/2_471.xml	471	162	34.3949
/Users/rbean/temp/xml/2_478.xml	478	144	30.12552
/Users/rbean/temp/xml/2_486.xml	486	259	53.29218
/Users/rbean/temp/xml/2_512.xml	512	214	41.79688
/Users/rbean/temp/xml/3_424.xml	424	133	31.36792
/Users/rbean/temp/xml/3_430.xml	430	101	23.48837
/Users/rbean/temp/xml/3_433.xml	433	351	81.06236
/Users/rbean/temp/xml/3_483.xml	483	336	69.56522
/Users/rbean/temp/xml/4_410.xml	410	183	44.63415
/Users/rbean/temp/xml/4_411.xml	411	181	44.03893
/Users/rbean/temp/xml/4_436.xml	436	331	75.91743
/Users/rbean/temp/xml/5_415.xml	415	252	60.72289
/Users/rbean/temp/xml/5_429.xml	429	260	60.60606
